9312	688615023	XR_659857	XR_659857.1	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	688575420	XM_009305630	XM_009305630.1	7955
6129	688575416	XM_002663629	XM_002663629.3	7955
6129	688575404	XM_009305624	XM_009305624.1	7955
6129	688575417	XM_009305629	XM_009305629.1	7955
6980	94384518	CR396590	CR396590.9	7955
6980	94384518	CR396590	CR396590.9	7955
6980	688575398	XM_001920721	XM_001920721.3	7955
6980	30230940	AL953903	AL953903.8	7955
6980	30230940	AL953903	AL953903.8	7955
6980	30230940	AL953903	AL953903.8	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	90399826	CR925820	CR925820.5	7955
6980	688575471	XM_009305646	XM_009305646.1	7955
6980	688575416	XM_002663629	XM_002663629.3	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	45581093	BX530037	BX530037.7	7955
6980	688575420	XM_009305630	XM_009305630.1	7955
6980	688575430	XM_002663633	XM_002663633.3	7955
6980	688575417	XM_009305629	XM_009305629.1	7955
6980	688575404	XM_009305624	XM_009305624.1	7955
9288	688590635	XM_003200181	XM_003200181.3	7955
21336	94384518	CR396590	CR396590.9	7955
21336	94384518	CR396590	CR396590.9	7955
21336	688575430	XM_002663633	XM_002663633.3	7955
21336	688575398	XM_001920721	XM_001920721.3	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	45581093	BX530037	BX530037.7	7955
21336	30230940	AL953903	AL953903.8	7955
21336	30230940	AL953903	AL953903.8	7955
21336	30230940	AL953903	AL953903.8	7955
21336	688575420	XM_009305630	XM_009305630.1	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	90399826	CR925820	CR925820.5	7955
21336	688575471	XM_009305646	XM_009305646.1	7955
21336	688575416	XM_002663629	XM_002663629.3	7955
21336	688575417	XM_009305629	XM_009305629.1	7955
21336	688575404	XM_009305624	XM_009305624.1	7955
10271	94384518	CR396590	CR396590.9	7955
64	94384518	CR396590	CR396590.9	7955
18416	94384518	CR396590	CR396590.9	7955
20460	112806935	CR848005	CR848005.12	7955
20460	38348684	BX255896	BX255896.4	7955
20460	50724666	BX769173	BX769173.6	7955
26759	94384518	CR396590	CR396590.9	7955
25057	94384518	CR396590	CR396590.9	7955
10233	94384518	CR396590	CR396590.9	7955
10233	94384518	CR396590	CR396590.9	7955
10233	688575398	XM_001920721	XM_001920721.3	7955
10233	30230940	AL953903	AL953903.8	7955
10233	30230940	AL953903	AL953903.8	7955
10233	30230940	AL953903	AL953903.8	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	90399826	CR925820	CR925820.5	7955
10233	688575471	XM_009305646	XM_009305646.1	7955
10233	688575416	XM_002663629	XM_002663629.3	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	45581093	BX530037	BX530037.7	7955
10233	688575420	XM_009305630	XM_009305630.1	7955
10233	688575430	XM_002663633	XM_002663633.3	7955
10233	688575417	XM_009305629	XM_009305629.1	7955
10233	688575404	XM_009305624	XM_009305624.1	7955
29894	688580958	XM_005156416	XM_005156416.2	7955
29894	688580956	XM_009306906	XM_009306906.1	7955
29894	688580954	XM_005156415	XM_005156415.2	7955
29894	688580951	XM_005156414	XM_005156414.2	7955
29894	688580948	XM_009306905	XM_009306905.1	7955
29894	688580947	XM_005156412	XM_005156412.2	7955
29894	688580944	XM_005156411	XM_005156411.2	7955
29894	688580941	XM_009306904	XM_009306904.1	7955
29894	688580938	XM_009306903	XM_009306903.1	7955
29894	688580937	XM_005156409	XM_005156409.2	7955
29894	688580934	XM_005156408	XM_005156408.2	7955
29894	688580931	XM_009306902	XM_009306902.1	7955
29894	688580928	XM_009306901	XM_009306901.1	7955
29894	123705280	NM_001080602	NM_001080602.1	7955
29894	54019889	BX324004	BX324004.6	7955
29894	37650837	AL954339	AL954339.10	7955
29894	685042235	LN590760	LN590760.1	7962
29894	375176437	JN718727	JN718727.1	7962
15932	688589761	XM_009292043	XM_009292043.1	7955
15932	688589759	XM_009292042	XM_009292042.1	7955
15932	688589756	XM_009292041	XM_009292041.1	7955
15932	688589752	XM_009292040	XM_009292040.1	7955
15932	688589749	XM_009292039	XM_009292039.1	7955
15932	688589746	XM_009292038	XM_009292038.1	7955
15932	688589744	XM_009292037	XM_009292037.1	7955
15932	77681143	CR848788	CR848788.7	7955
29968	94384518	CR396590	CR396590.9	7955
28456	688572046	XM_684944	XM_684944.6	7955
28456	41016257	BX321915	BX321915.3	7955
28456	84452586	BX001051	BX001051.29	7955
5325	94384518	CR396590	CR396590.9	7955
20825	94384518	CR396590	CR396590.9	7955
82	756761826	NG_007153	NG_007153.5	9606
82	406362884	AC253567	AC253567.1	9606
82	392996963	AC234783	AC234783.5	9606
82	392996963	AC234783	AC234783.5	9606
82	257153514	AC234782	AC234782.5	9606
82	121495926	AC196550	AC196550.1	9606
82	1235540	Z70227	Z70227.1	9606
82	694985749	XM_009439432	XM_009439432.1	9598
82	675754305	XM_008973063	XM_008973063.1	9597
82	756398243	NM_199286	NM_199286.3	9606
82	694948520	XM_001164778	XM_001164778.4	9598
82	675714901	XM_003811794	XM_003811794.2	9597
82	182888310	BC160067	BC160067.1	32630
82	35186893	AY317075	AY317075.1	9606
82	756761825	NG_023379	NG_023379.2	9606
82	649148085	KJ904275	KJ904275.1	32630
82	426371495	XM_004052634	XM_004052634.1	9595
82	297691019	XM_002822851	XM_002822851.1	9601
82	115528928	BC125145	BC125145.1	9606
82	38382979	BC062480	BC062480.1	9606
82	37921164	AY230136	AY230136.1	9606
82	13928035	AL137226	AL137226.3	9606
82	694955829	XR_020407	XR_020407.3	9598
82	675762728	XR_157265	XR_157265.2	9597
82	441642195	XM_003279848	XM_003279848.2	61853
82	724950705	XM_010353058	XM_010353058.1	61622
82	724942334	XM_010388024	XM_010388024.1	61622
82	795537175	XM_012048318	XM_012048318.1	9531
82	795177459	XM_011944627	XM_011944627.1	336983
82	795165102	XR_001001783	XR_001001783.1	336983
82	795150669	XM_011983076	XM_011983076.1	9568
82	795107812	XM_011952615	XM_011952615.1	336983
82	795082113	XR_001004302	XR_001004302.1	9568
82	685572434	XM_009180715	XM_009180715.1	9555
82	685570926	XM_003905920	XM_003905920.2	9555
82	635044582	XM_007999690	XM_007999690.1	60711
82	795569667	XM_012054463	XM_012054463.1	9531
82	756761827	NG_029216	NG_029216.3	9606
82	25446662	AC021646	AC021646.35	9606
82	16603968	AC006517	AC006517.46	9606
7983	756761826	NG_007153	NG_007153.5	9606
7983	406362884	AC253567	AC253567.1	9606
7983	392996963	AC234783	AC234783.5	9606
7983	392996963	AC234783	AC234783.5	9606
7983	257153514	AC234782	AC234782.5	9606
7983	121495926	AC196550	AC196550.1	9606
7983	1235540	Z70227	Z70227.1	9606
7983	694985749	XM_009439432	XM_009439432.1	9598
7983	675754305	XM_008973063	XM_008973063.1	9597
7983	756761825	NG_023379	NG_023379.2	9606
7983	756398243	NM_199286	NM_199286.3	9606
7983	694948520	XM_001164778	XM_001164778.4	9598
7983	675714901	XM_003811794	XM_003811794.2	9597
7983	649148085	KJ904275	KJ904275.1	32630
7983	426371495	XM_004052634	XM_004052634.1	9595
7983	182888310	BC160067	BC160067.1	32630
7983	115528928	BC125145	BC125145.1	9606
7983	38382979	BC062480	BC062480.1	9606
7983	37921164	AY230136	AY230136.1	9606
7983	35186893	AY317075	AY317075.1	9606
7983	13928035	AL137226	AL137226.3	9606
7983	694955829	XR_020407	XR_020407.3	9598
7983	675762728	XR_157265	XR_157265.2	9597
3928	756761826	NG_007153	NG_007153.5	9606
3928	406362884	AC253567	AC253567.1	9606
3928	392996963	AC234783	AC234783.5	9606
3928	392996963	AC234783	AC234783.5	9606
3928	257153514	AC234782	AC234782.5	9606
3928	121495926	AC196550	AC196550.1	9606
3928	1235540	Z70227	Z70227.1	9606
3928	694985749	XM_009439432	XM_009439432.1	9598
3928	675754305	XM_008973063	XM_008973063.1	9597
3928	297691019	XM_002822851	XM_002822851.1	9601
3928	795537175	XM_012048318	XM_012048318.1	9531
3928	685572434	XM_009180715	XM_009180715.1	9555
3928	441642195	XM_003279848	XM_003279848.2	61853
3928	795417814	XM_011760129	XM_011760129.1	9545
3928	724950705	XM_010353058	XM_010353058.1	61622
3928	724942334	XM_010388024	XM_010388024.1	61622
3928	297262341	XM_001111317	XM_001111317.2	9544
3928	795150669	XM_011983076	XM_011983076.1	9568
3928	544467958	XM_005570022	XM_005570022.1	9541
3928	109095456	XM_001112679	XM_001112679.1	9544
3928	635044582	XM_007999690	XM_007999690.1	60711
3928	685570926	XM_003905920	XM_003905920.2	9555
20231	756761826	NG_007153	NG_007153.5	9606
20231	406362884	AC253567	AC253567.1	9606
20231	392996963	AC234783	AC234783.5	9606
20231	392996963	AC234783	AC234783.5	9606
20231	257153514	AC234782	AC234782.5	9606
20231	121495926	AC196550	AC196550.1	9606
20231	22507447	BC019900	BC019900.1	9606
20231	1235540	Z70227	Z70227.1	9606
20231	756398243	NM_199286	NM_199286.3	9606
20231	694948521	XM_009424746	XM_009424746.1	9598
20231	694948520	XM_001164778	XM_001164778.4	9598
20231	675714901	XM_003811794	XM_003811794.2	9597
20231	426396924	XM_004064631	XM_004064631.1	9595
20231	426371495	XM_004052634	XM_004052634.1	9595
20231	182888310	BC160067	BC160067.1	32630
20231	35186893	AY317075	AY317075.1	9606
20231	16603968	AC006517	AC006517.46	9606
20231	694985749	XM_009439432	XM_009439432.1	9598
20231	694955829	XR_020407	XR_020407.3	9598
20231	675762728	XR_157265	XR_157265.2	9597
20231	297691019	XM_002822851	XM_002822851.1	9601
13244	756761826	NG_007153	NG_007153.5	9606
13244	406362884	AC253567	AC253567.1	9606
13244	392996963	AC234783	AC234783.5	9606
13244	392996963	AC234783	AC234783.5	9606
13244	257153514	AC234782	AC234782.5	9606
13244	121495926	AC196550	AC196550.1	9606
13244	1235540	Z70227	Z70227.1	9606
13244	756761825	NG_023379	NG_023379.2	9606
13244	756398243	NM_199286	NM_199286.3	9606
13244	694985749	XM_009439432	XM_009439432.1	9598
13244	694948520	XM_001164778	XM_001164778.4	9598
13244	675754305	XM_008973063	XM_008973063.1	9597
13244	675714901	XM_003811794	XM_003811794.2	9597
13244	649148085	KJ904275	KJ904275.1	32630
13244	426371495	XM_004052634	XM_004052634.1	9595
13244	182888310	BC160067	BC160067.1	32630
13244	115528928	BC125145	BC125145.1	9606
13244	38382979	BC062480	BC062480.1	9606
13244	37921164	AY230136	AY230136.1	9606
13244	35186893	AY317075	AY317075.1	9606
13244	13928035	AL137226	AL137226.3	9606
13244	694955829	XR_020407	XR_020407.3	9598
13244	675762728	XR_157265	XR_157265.2	9597
13244	297691019	XM_002822851	XM_002822851.1	9601
13244	694948521	XM_009424746	XM_009424746.1	9598
13244	441642195	XM_003279848	XM_003279848.2	61853
13244	441670232	XM_003273796	XM_003273796.2	61853
13244	795177459	XM_011944627	XM_011944627.1	336983
13244	795165102	XR_001001783	XR_001001783.1	336983
13244	795107812	XM_011952615	XM_011952615.1	336983
13244	724950705	XM_010353058	XM_010353058.1	61622
13244	724942334	XM_010388024	XM_010388024.1	61622
13244	756761827	NG_029216	NG_029216.3	9606
13244	25446662	AC021646	AC021646.35	9606
13244	795537175	XM_012048318	XM_012048318.1	9531
13244	795082113	XR_001004302	XR_001004302.1	9568
13244	685572434	XM_009180715	XM_009180715.1	9555
13244	795569667	XM_012054463	XM_012054463.1	9531
13244	795150669	XM_011983076	XM_011983076.1	9568
13244	635044582	XM_007999690	XM_007999690.1	60711
13244	685570926	XM_003905920	XM_003905920.2	9555
13244	635064536	XM_007968148	XM_007968148.1	60711
13244	795666100	XM_011745724	XM_011745724.1	9545
13244	544467958	XM_005570022	XM_005570022.1	9541
13244	109095456	XM_001112679	XM_001112679.1	9544
13244	16603968	AC006517	AC006517.46	9606
15937	756761826	NG_007153	NG_007153.5	9606
15937	406362884	AC253567	AC253567.1	9606
15937	392996963	AC234783	AC234783.5	9606
15937	392996963	AC234783	AC234783.5	9606
15937	257153514	AC234782	AC234782.5	9606
15937	121495926	AC196550	AC196550.1	9606
15937	1235540	Z70227	Z70227.1	9606
15937	694985749	XM_009439432	XM_009439432.1	9598
15937	675754305	XM_008973063	XM_008973063.1	9597
15937	756761825	NG_023379	NG_023379.2	9606
15937	756398243	NM_199286	NM_199286.3	9606
15937	694948520	XM_001164778	XM_001164778.4	9598
15937	675714901	XM_003811794	XM_003811794.2	9597
15937	649148085	KJ904275	KJ904275.1	32630
15937	426371495	XM_004052634	XM_004052634.1	9595
15937	182888310	BC160067	BC160067.1	32630
15937	115528928	BC125145	BC125145.1	9606
15937	38382979	BC062480	BC062480.1	9606
15937	37921164	AY230136	AY230136.1	9606
15937	35186893	AY317075	AY317075.1	9606
15937	13928035	AL137226	AL137226.3	9606
15937	694955829	XR_020407	XR_020407.3	9598
15937	675762728	XR_157265	XR_157265.2	9597
15937	297691019	XM_002822851	XM_002822851.1	9601
15937	694948521	XM_009424746	XM_009424746.1	9598
15937	441642195	XM_003279848	XM_003279848.2	61853
15937	441670232	XM_003273796	XM_003273796.2	61853
15937	795177459	XM_011944627	XM_011944627.1	336983
15937	795165102	XR_001001783	XR_001001783.1	336983
15937	795107812	XM_011952615	XM_011952615.1	336983
15937	724950705	XM_010353058	XM_010353058.1	61622
15937	724942334	XM_010388024	XM_010388024.1	61622
15937	795569667	XM_012054463	XM_012054463.1	9531
15937	795537175	XM_012048318	XM_012048318.1	9531
15937	795150669	XM_011983076	XM_011983076.1	9568
15937	795082113	XR_001004302	XR_001004302.1	9568
15937	685572434	XM_009180715	XM_009180715.1	9555
15937	635044582	XM_007999690	XM_007999690.1	60711
15937	685570926	XM_003905920	XM_003905920.2	9555
15937	635064536	XM_007968148	XM_007968148.1	60711
15937	544467958	XM_005570022	XM_005570022.1	9541
15937	109095456	XM_001112679	XM_001112679.1	9544
15937	795666100	XM_011745724	XM_011745724.1	9545
15937	16603968	AC006517	AC006517.46	9606
10139	83318690	CT009635	CT009635.18	10090
10139	57863218	AC154679	AC154679.2	10090
10139	755500610	XM_011239789	XM_011239789.1	10090
10139	532042915	XM_005364230	XM_005364230.1	79684
10139	133893139	NM_024254	NM_024254.3	10090
10139	15214556	BC012402	BC012402.1	10090
10139	13096839	BC003216	BC003216.1	10090
10139	74220288	AK152570	AK152570.1	10090
10139	74219818	AK168639	AK168639.1	10090
10139	74193289	AK151464	AK151464.1	10090
10139	74181338	AK150905	AK150905.1	10090
10139	26331753	AK036861	AK036861.1	10090
10139	12846253	AK010654	AK010654.1	10090
10139	51593582	BC080661	BC080661.1	10090
10139	672046602	XM_006234712	XM_006234712.2	10116
10139	172354613	NM_001109645	NM_001109645.2	10116
10139	625248281	XM_007617242	XM_007617242.1	10029
10139	625201225	XM_003503587	XM_003503587.2	10029
10139	524921123	XM_005064776	XM_005064776.1	10036
10139	725563229	XM_003925899	XM_003925899.2	39432
10139	298916388	FQ219931	FQ219931.1	10116
10139	23894529	AL683897	AL683897.5	10090
10139	795495112	XM_011710852	XM_011710852.1	9545
10139	795495107	XM_011710851	XM_011710851.1	9545
10139	795422819	XM_012091997	XM_012091997.1	9531
10139	795422816	XM_012091996	XM_012091996.1	9531
10139	795180324	XM_011989106	XM_011989106.1	9568
10139	724936146	XM_010386317	XM_010386317.1	61622
10139	686747150	XM_009249664	XM_009249664.1	9601
10139	686747148	XM_009249662	XM_009249662.1	9601
10139	686747147	XM_002825257	XM_002825257.2	9601
10139	685549695	XM_009209865	XM_009209865.1	9555
10139	675688121	XM_009005623	XM_009005623.1	9483
10139	675678181	XM_008965593	XM_008965593.1	9597
10139	675678178	XM_008965592	XM_008965592.1	9597
10139	674064975	XM_008841146	XM_008841146.1	1026970
10139	674064973	XM_008841145	XM_008841145.1	1026970
10139	649111714	KJ894729	KJ894729.1	32630
10139	635136905	XM_008017147	XM_008017147.1	60711
10139	635136901	XM_008017145	XM_008017145.1	60711
10139	635136899	XM_008017144	XM_008017144.1	60711
10139	544442279	XM_005559082	XM_005559082.1	9541
10139	544442277	XM_005559081	XM_005559081.1	9541
10139	426378508	XM_004065331	XM_004065331.1	9595
10139	426354834	XR_174965	XR_174965.1	9595
10139	402873860	XM_003900723	XM_003900723.1	9555
10139	397466510	XM_003804950	XM_003804950.1	9597
10139	332247373	XM_003272785	XM_003272785.1	61853
10139	194688139	NM_024713	NM_024713.2	9606
10139	168743994	CU693167	CU693167.1	32630
10139	158262056	NR_003954	NR_003954.1	9606
10139	158259502	AK293021	AK293021.1	9606
10139	694958562	XM_009428733	XM_009428733.1	9598
10139	117645889	AM393535	AM393535.1	32630
10139	114656155	XM_001165269	XM_001165269.1	9598
10139	45709624	BC067801	BC067801.1	9606
10139	11182157	AL138916	AL138916.14	9606
10139	10438985	AK026210	AK026210.1	9606
10139	83404924	BC111000	BC111000.1	9606
10139	21734278	AL833631	AL833631.1	9606
10139	20072804	BC026234	BC026234.1	9606
10139	12053310	AL136908	AL136908.1	9606
10139	795372085	XM_011932690	XM_011932690.1	336983
10139	664715155	XR_544274	XR_544274.1	9798
10139	664715153	XM_008516347	XM_008516347.1	9798
10139	545196059	XM_005603167	XM_005603167.1	9796
10139	507578150	XM_004672540	XM_004672540.1	51337
10139	505828571	XM_004609537	XM_004609537.1	42254
10139	504130958	XM_004578209	XM_004578209.1	9978
10139	478494157	XM_004421370	XM_004421370.1	73337
10139	472390260	XM_004414387	XM_004414387.1	9708
10139	395837620	XM_003791681	XM_003791681.1	30611
10139	694918747	XR_022405	XR_022405.3	9598
10139	675713516	XR_610660	XR_610660.1	9597
10139	759104737	XM_011354858	XM_011354858.1	132908
10139	744567749	XM_010981163	XM_010981163.1	9838
10139	743738444	XM_010965317	XM_010965317.1	9837
10139	731217121	XM_010624607	XM_010624607.1	885580
10139	671019388	XM_008702291	XM_008702291.1	29073
10139	640813781	XM_008065408	XM_008065408.1	9478
10139	640776153	XR_503802	XR_503802.1	9478
10139	602701479	XM_007462523	XM_007462523.1	118797
10139	594665554	XM_007180823	XM_007180823.1	310752
10139	593744851	XM_007127723	XM_007127723.1	9755
10139	593744849	XM_007127722	XM_007127722.1	9755
10139	586531364	XM_006920527	XM_006920527.1	9402
10139	560937287	XM_006194388	XM_006194388.1	419612
10139	513000026	XM_004861494	XM_004861494.1	10181
10139	512923044	XM_004904824	XM_004904824.1	10181
10139	507963473	XM_004687953	XM_004687953.1	143302
10139	470596409	XM_004310933	XM_004310933.1	9739
10139	466029934	XM_004274041	XM_004274041.1	9733
10139	767985300	XM_005254668	XM_005254668.2	9606
10139	694958561	XR_674445	XR_674445.1	9598
10139	675678185	XM_008965597	XM_008965597.1	9597
10139	667346132	XM_008565281	XM_008565281.1	482537
10139	24414566	AC079203	AC079203.9	9606
10139	795422810	XM_012091995	XM_012091995.1	9531
10139	795422805	XM_012091994	XM_012091994.1	9531
10139	795422795	XM_012091993	XM_012091993.1	9531
26147	755500610	XM_011239789	XM_011239789.1	10090
26147	133893139	NM_024254	NM_024254.3	10090
26147	15214556	BC012402	BC012402.1	10090
26147	13096839	BC003216	BC003216.1	10090
26147	74219818	AK168639	AK168639.1	10090
26147	74193289	AK151464	AK151464.1	10090
26147	74181338	AK150905	AK150905.1	10090
26147	26331753	AK036861	AK036861.1	10090
26147	12846253	AK010654	AK010654.1	10090
26147	83318690	CT009635	CT009635.18	10090
26147	57863218	AC154679	AC154679.2	10090
26147	51593582	BC080661	BC080661.1	10090
26147	74220288	AK152570	AK152570.1	10090
26147	672046602	XM_006234712	XM_006234712.2	10116
26147	172354613	NM_001109645	NM_001109645.2	10116
26147	23894529	AL683897	AL683897.5	10090
20459	83318690	CT009635	CT009635.18	10090
20459	57863218	AC154679	AC154679.2	10090
20459	755500610	XM_011239789	XM_011239789.1	10090
20459	133893139	NM_024254	NM_024254.3	10090
20459	15214556	BC012402	BC012402.1	10090
20459	13096839	BC003216	BC003216.1	10090
20459	74219818	AK168639	AK168639.1	10090
20459	74193289	AK151464	AK151464.1	10090
20459	74181338	AK150905	AK150905.1	10090
20459	26331753	AK036861	AK036861.1	10090
20459	12846253	AK010654	AK010654.1	10090
20459	51593582	BC080661	BC080661.1	10090
20459	672046602	XM_006234712	XM_006234712.2	10116
20459	172354613	NM_001109645	NM_001109645.2	10116
20459	625248281	XM_007617242	XM_007617242.1	10029
20459	625201225	XM_003503587	XM_003503587.2	10029
20459	589960284	XM_006992658	XM_006992658.1	230844
20459	532042915	XM_005364230	XM_005364230.1	79684
20459	524921123	XM_005064776	XM_005064776.1	10036
20459	674064975	XM_008841146	XM_008841146.1	1026970
20459	674064973	XM_008841145	XM_008841145.1	1026970
20459	759104737	XM_011354858	XM_011354858.1	132908
20459	23894529	AL683897	AL683897.5	10090
7514	83318690	CT009635	CT009635.18	10090
7514	57863218	AC154679	AC154679.2	10090
7514	755500610	XM_011239789	XM_011239789.1	10090
7514	532042915	XM_005364230	XM_005364230.1	79684
7514	133893139	NM_024254	NM_024254.3	10090
7514	15214556	BC012402	BC012402.1	10090
7514	13096839	BC003216	BC003216.1	10090
7514	74220288	AK152570	AK152570.1	10090
7514	74219818	AK168639	AK168639.1	10090
7514	74193289	AK151464	AK151464.1	10090
7514	74181338	AK150905	AK150905.1	10090
7514	26331753	AK036861	AK036861.1	10090
7514	12846253	AK010654	AK010654.1	10090
7514	51593582	BC080661	BC080661.1	10090
7514	795495112	XM_011710852	XM_011710852.1	9545
7514	795495107	XM_011710851	XM_011710851.1	9545
7514	795422819	XM_012091997	XM_012091997.1	9531
7514	795422816	XM_012091996	XM_012091996.1	9531
7514	795180324	XM_011989106	XM_011989106.1	9568
7514	685549695	XM_009209865	XM_009209865.1	9555
7514	675688121	XM_009005623	XM_009005623.1	9483
7514	675678181	XM_008965593	XM_008965593.1	9597
7514	675678178	XM_008965592	XM_008965592.1	9597
7514	674064975	XM_008841146	XM_008841146.1	1026970
7514	674064973	XM_008841145	XM_008841145.1	1026970
7514	649111714	KJ894729	KJ894729.1	32630
7514	635136905	XM_008017147	XM_008017147.1	60711
7514	635136901	XM_008017145	XM_008017145.1	60711
7514	635136899	XM_008017144	XM_008017144.1	60711
7514	544442279	XM_005559082	XM_005559082.1	9541
7514	544442277	XM_005559081	XM_005559081.1	9541
7514	504130958	XM_004578209	XM_004578209.1	9978
7514	426378508	XM_004065331	XM_004065331.1	9595
7514	426354834	XR_174965	XR_174965.1	9595
7514	402873860	XM_003900723	XM_003900723.1	9555
7514	397466510	XM_003804950	XM_003804950.1	9597
7514	332247373	XM_003272785	XM_003272785.1	61853
7514	194688139	NM_024713	NM_024713.2	9606
7514	168743994	CU693167	CU693167.1	32630
7514	158262056	NR_003954	NR_003954.1	9606
7514	158259502	AK293021	AK293021.1	9606
7514	694958562	XM_009428733	XM_009428733.1	9598
7514	117645889	AM393535	AM393535.1	32630
7514	114656155	XM_001165269	XM_001165269.1	9598
7514	45709624	BC067801	BC067801.1	9606
7514	11182157	AL138916	AL138916.14	9606
7514	10438985	AK026210	AK026210.1	9606
7514	83404924	BC111000	BC111000.1	9606
7514	21734278	AL833631	AL833631.1	9606
7514	20072804	BC026234	BC026234.1	9606
7514	12053310	AL136908	AL136908.1	9606
7514	524921123	XM_005064776	XM_005064776.1	10036
7514	724936146	XM_010386317	XM_010386317.1	61622
7514	694918747	XR_022405	XR_022405.3	9598
7514	686747150	XM_009249664	XM_009249664.1	9601
7514	686747148	XM_009249662	XM_009249662.1	9601
7514	686747147	XM_002825257	XM_002825257.2	9601
7514	675713516	XR_610660	XR_610660.1	9597
7514	672046602	XM_006234712	XM_006234712.2	10116
7514	625248281	XM_007617242	XM_007617242.1	10029
